Index,Timestamp,lat,long,Obs1_bird_dist,Shoot_bird_dist,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,SocialGroup,Target,TarSpp,Scientific,BirdTree,Alarm_Presence,Alarm_Qty,Alarm_Spp,Alarm_Sex,Alarm_Conspecific,abundance,richness,Angle,Tar_Sex,Proximity,alarm,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_Under_Avg,Veg_under_height,Pre_Bird_Dense,Bird_Dense_Avg,Pre_Vocal,Pre_Behav,Mid_Vocal,Mid_Behav,Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist,Post_Bird_Height,Post_Bird_Dense,Post_Dense_Avg,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_10_Avg,flock
104,230719-110055,na,na,na,na,2,palm,na,msf,1,myme,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,15,22,32,na,na,na,na,na,na,na,na,na,na,0,na
105,230719-110055,na,na,na,na,2,palm,na,msf,1,thar,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,15,22,32,na,na,na,na,na,na,na,na,na,na,0,na
106,230719-110055,na,na,na,na,2,palm,na,msf,1,xigu,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,15,22,32,na,na,na,na,na,na,na,na,na,na,0,na
107,230719-110055,na,na,na,na,2,palm,na,msf,1,mylo,,,,,,,,,,na,f,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,11,15,22,32,na,na,na,na,na,na,na,na,na,na,0,na
114,230720-061454,-12.52844,-69.01388,10,na,na,na,na,msf,1,myle,,,1,1,myle,f,1,3,2,na,f,na,,a,19,3,3,1,28,0111,0.75,5,1123,1.75,call,vs_pr,alarm,dv,c_a,sit_bc,0,15,2,2332,2.5,6,15,18,32,1,2,2,3,3,4,3,3,2,2,2.5,na
115,230720-061454,na,na,na,na,na,na,na,msf,1,myhy,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,15,18,32,na,na,na,na,na,na,na,na,na,na,0,na
116,230720-061454,na,na,na,na,na,na,na,msf,1,myle,,,,,,,,,,na,m,na,,na,na,na,na,na,na,na,#VALUE!,5,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,15,18,32,na,na,na,na,na,na,na,na,na,na,0,na
117,230720-065002,-12.52844,-69.01388,0,na,na,na,na,msf,1,myle,,,0,0,none,n,0,2,2,na,m,na,,q,15,5,4,1,5,3332,2.75,4,3221,2,song,glean,quiet,dv,quiet,sit_vs,0,4,1,3322,2.5,7,12,19,28,3,4,2,2,1,1,3,2,2,2,2.2,na
118,230720-065002,na,na,na,na,na,na,na,msf,1,crun,,,,,,,,,,na,u,na,,na,na,na,na,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,12,19,28,na,na,na,na,na,na,na,na,na,na,0,na
122,230720-091827,-12.536168,-69.006691,5,na,na,na,na,msf,1,myhy,,,0,0,none,n,0,3,2,na,m,na,,c,10,2,1,2,3,4332,3,4,3144,3,call,glean,call,"vs, forage",c,gl,0,2,2,3232,2.5,7,10,10,16,4,4,4,4,2,1,1,2,1,1,2.4,na
