Index,Timestamp,lat,long,Obs1_bird_dist,Shoot_bird_dist,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,SocialGroup,Target,TarSpp,Scientific,BirdTree,Alarm_Presence,Alarm_Qty,Alarm_Spp,Alarm_Sex,Alarm_Conspecific,abundance,richness,Angle,Tar_Sex,Proximity,alarm,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_Under_Avg,Veg_under_height,Pre_Bird_Dense,Bird_Dense_Avg,Pre_Vocal,Pre_Behav,Mid_Vocal,Mid_Behav,Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist,Post_Bird_Height,Post_Bird_Dense,Post_Dense_Avg,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Rad_10_Avg,flock
364,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,defu,,,,,,,,,,na,u,11,,q,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
365,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,haru,,,,,,,,,,na,u,12,,c,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
366,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,haru,,,,,,,,,,na,u,14,,c,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
367,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,sigr,,,,,,,,,,na,u,17,,q,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
368,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,thar,,,,,,,,,,na,m,8,,c,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
369,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,mylo,,,,,,,,,,na,m,10,,q,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
370,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,mylo,,,,,,,,,,na,f,14,,q,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
371,240614-094718,-12.53212,-69.01145,8,9,Secundario,Palmeras,Arboles,msf,0,xigu,,,,,,,,,,na,u,7,,q,7,7,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,7,10,16,20,na,na,na,na,na,na,na,na,na,na,0,na
372,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,1,thar,,,0,0,none,n,0,6,6,na,m,18,,q,6,17,10,3,7,3112,1.75,2,0110,0.5,c,vig,q,vs,q,vig,0,0,3,0110,0.5,6,8,19,23,2,2,1,1,2,3,2,2,2,2,1.9,na
373,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,0,haru,,,,,,,,,,na,m,6,,q,6,17,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,8,19,23,na,na,na,na,na,na,na,na,na,na,0,na
374,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,0,myhy,,,,,,,,,,na,f,16,,q,6,17,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,8,19,23,na,na,na,na,na,na,na,na,na,na,0,na
375,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,0,sche,,,,,,,,,,na,m,14,,s,6,17,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,8,19,23,na,na,na,na,na,na,na,na,na,na,0,na
376,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,0,xigu,,,,,,,,,,na,u,4,,q,6,17,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,8,19,23,na,na,na,na,na,na,na,na,na,na,0,na
377,240614-102834,-12.53225,-69.01104,18,18,Secundario,Arboles,Palmeras,msf,0,mylo,,,,,,,,,,na,m,7,,q,6,17,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,8,19,23,na,na,na,na,na,na,na,na,na,na,0,na
378,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,1,thar,,,0,0,none,n,0,11,7,na,m,9,,q,5,11,9,4,11,2211,1.5,2,1111,1,c,sally,q,vs,q,sally,0,0,4,1111,1,4,9,17,25,3,3,4,4,3,2,2,2,2,2,2.7,na
379,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,thar,,,,,,,,,,na,f,12,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
380,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,haru,,,,,,,,,,na,m,4,,c,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
381,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,haru,,,,,,,,,,na,f,3,,c,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
382,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,myax,,,,,,,,,,na,m,6,,c,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
383,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,sche,,,,,,,,,,na,f,5,,m,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
384,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,sche,,,,,,,,,,na,m,12,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
385,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,xigu,,,,,,,,,,na,u,12,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
386,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,phpy,,,,,,,,,,na,u,10,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
387,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,picl,,,,,,,,,,na,u,8,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
388,240617-072034,-12.5319,-69.0096,14,16,Secundario,heliconias,Arboles,msf,0,picl,,,,,,,,,,na,u,8,,q,5,11,9,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,9,17,25,na,na,na,na,na,na,na,na,na,na,0,na
389,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,1,cyli,,,1,1,cyli,m,0,6,6,na,m,2,,a,4,6,8,3,3,4444,4,2,0010,0.25,s,vig,a,dv,q,u,0,6,2,3321,2.25,4,8,10,15,3,2,2,2,1,1,1,1,1,1,1.5,na
390,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,0,sche,,,,,,,,,,na,m,8,,c,4,6,8,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,8,10,15,na,na,na,na,na,na,na,na,na,na,0,na
391,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,0,thar,,,,,,,,,,na,m,13,,c,4,6,8,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,8,10,15,na,na,na,na,na,na,na,na,na,na,0,na
392,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,0,haru,,,,,,,,,,na,m,8,,c,4,6,8,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,8,10,15,na,na,na,na,na,na,na,na,na,na,0,na
393,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,0,myle,,,,,,,,,,na,m,7,,q,4,6,8,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,8,10,15,na,na,na,na,na,na,na,na,na,na,0,na
394,240617-080522,-12.53238,-69.0097,6,7,Secundario,Arboles,Heliconias,msf,0,foan,,,,,,,,,,na,u,11,,c,4,6,8,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,4,8,10,15,na,na,na,na,na,na,na,na,na,na,0,na
395,240617-085526,-12.5344,-69.00784,12,12,Secundario,Arboles,Palmeras,solo,1,trco,,,0,0,none,n,0,1,1,na,m,6,,q,5,8,8,8,14,3322,2.5,2,3211,1.75,q,vig,q,vs,q,vig,0,0,8,3211,1.75,5,13,15,26,4,3,3,2,2,1,1,2,2,2,2.2,na
396,240617-102058,-12.5337,-69.0044,11,10,Secundario,Lianas,Arboles,pair,1,hyma,,,0,0,none,n,0,2,1,na,u,4,,q,4,13,4,0,1,3222,2.25,1,3222,2.25,q,preen,q,dv,q,preen,0,3,0,3333,3,2,6,12,20,3,4,4,4,1,1,1,0,0,0,1.8,na
397,240617-102058,-12.5337,-69.0044,11,10,Secundario,Lianas,Arboles,pair,0,hyma,,,,,,,,,,na,u,7,,q,4,13,4,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,6,12,20,na,na,na,na,na,na,na,na,na,na,0,na
398,240617-111600,-12.5322,-69.0030,11,12,Secundario,Lianas,Arboles,msf,1,myle,,,0,0,none,n,0,2,2,na,m,3,,q,1,7,7,1,1,3111,1.5,1,3111,1.5,c,gl,q,dv,q,gl,0,3,1,4313,2.75,2,7,16,28,4,4,3,2,2,1,2,1,1,1,2.1,na
399,240617-111600,-12.5322,-69.0030,11,12,Secundario,Lianas,Arboles,msf,0,myhy,,,,,,,,,,na,m,6,,q,1,7,7,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,7,16,28,na,na,na,na,na,na,na,na,na,na,0,na
400,240618-094613,-12.53415,-69.01112,10,11,Secundario,Heliconias,Palmeras,solo,1,teer,,,0,0,none,n,0,1,1,na,u,2,,q,2,2,10,2,3,3221,2,2,4111,1.75,q,sit,q,dv,s,vig,0,13,2,2232,2.25,4,8,18,24,4,3,1,1,1,2,3,4,3,3,2.5,na
401,240618-101803,-12.5330,-69.0118,7,11,Secundario,Palmeras,Arboles,pair,1,pami,,,1,1,pami,m,1,2,1,na,m,3,,a,1,8,10,4,6,2212,1.75,2,1122,1.5,q,sally,a,dv,c,sally,0,3,4,2333,2.75,5,16,26,30,3,2,2,2,3,3,2,1,1,1,2,na
402,240618-101803,-12.5330,-69.0118,7,11,Secundario,Palmeras,Arboles,pair,0,pami,,,,,,,,,,na,f,9,,q,1,8,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,16,26,30,na,na,na,na,na,na,na,na,na,na,0,na
403,240619-064521,-12.5337,-69.0087,14,15,Secundario,lianas,Arboles,lek,1,pifa,,,0,0,none,n,0,5,1,na,m,5,,q,1,8,10,6,12,3222,2.25,2,3312,2.25,s,lek,q,dv,s,lek,0,7,4,3311,2,5,16,26,30,3,3,3,2,3,3,3,2,2,2,2.6,na
404,240619-064521,-12.5337,-69.0087,14,15,Secundario,lianas,Arboles,lek,0,pifa,,,,,,,,,,na,f,8,,q,1,8,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,16,26,30,na,na,na,na,na,na,na,na,na,na,0,na
405,240619-064521,-12.5337,-69.0087,14,15,Secundario,lianas,Arboles,lek,0,pifa,,,,,,,,,,na,m,10,,q,1,8,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,16,26,30,na,na,na,na,na,na,na,na,na,na,0,na
406,240619-064521,-12.5337,-69.0087,14,15,Secundario,lianas,Arboles,lek,0,pifa,,,,,,,,,,na,m,10,,q,1,8,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,16,26,30,na,na,na,na,na,na,na,na,na,na,0,na
407,240619-064521,-12.5337,-69.0087,14,15,Secundario,lianas,Arboles,lek,0,pifa,,,,,,,,,,na,m,11,,q,1,8,10,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,16,26,30,na,na,na,na,na,na,na,na,na,na,0,na
408,240619-100927,-12.5432,-69.0087,9,9,PRIMARIO,Arboles,Palmeras,pair,1,thar,,,1,1,thar,f,1,2,1,na,m,3,,c,6,3,12,4,11,0112,1,2,0010,0.25,c,sally,q,dv,c,vig,0,3,4,3220,1.75,6,10,22,26,1,1,2,2,2,4,1,2,2,2,1.9,na
409,240619-100927,-12.5432,-69.0087,9,9,PRIMARIO,Arboles,Palmeras,pair,0,thar,,,,,,,,,,na,f,6,,a,6,3,12,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,10,22,26,na,na,na,na,na,na,na,na,na,na,0,na
410,240619-142627,-12.5370,-69.0077,19,19,Secundario,Arboles,Heliconias,pair,1,moni,,,0,0,none,n,0,2,1,na,u,10,,q,6,5,8,8,31,3343,3.25,4,3210,1.5,q,at,q,fz,q,fz,3:11,0,8,3210,1.5,6,11,21,34,4,3,2,1,1,1,1,2,2,2,1.9,na
411,240619-142627,-12.5370,-69.0077,19,19,Secundario,Arboles,Heliconias,pair,0,moni,,,,,,,,,,na,u,3,,q,6,5,8,na,na,na,#VALUE!,4,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,11,21,34,na,na,na,na,na,na,na,na,na,na,0,na
412,240620-065952,-12.5275,-69.0164,18,10,Agricultura,Platanal,Arboles,pair,1,gacy,,,0,0,none,n,0,2,1,na,u,3,,q,6,4,11,8,8,0000,0,0,1000,0.25,c,sally,q,dv,q,uk,0,14,8,u,#VALUE!,2,4,5,6,2,2,3,3,2,2,1,1,0,0,1.6,na
413,240620-065952,-12.5275,-69.0164,18,10,Agricultura,Platanal,Arboles,pair,0,gacy,,,,,,,,,,na,u,3,,q,6,4,11,na,na,na,#VALUE!,0,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,4,5,6,na,na,na,na,na,na,na,na,na,na,0,na
414,240620-074835,-12.5309,-69.0132,11,11,SWAMP,Lianas,arbol,pair,1,hyma,,,0,0,none,n,0,2,1,na,u,2,,q,5,2,8,0,1,2010,0.75,1,2010,0.75,q,gl,q,dv,c,dv,0,6,0,3321,2.25,2,4,7,5,3,3,4,3,3,4,1,0,0,0,2.1,na
415,240620-074835,-12.5309,-69.0132,11,11,SWAMP,Lianas,arbol,pair,0,hyma,,,,,,,,,,na,u,6,,q,5,2,8,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,4,7,5,na,na,na,na,na,na,na,na,na,na,0,na
416,240620-083000,-12.5318,-69.0132,8,8,Secundario,Palmeras,Arboles,pair,1,cale,,,0,0,none,n,0,2,1,na,u,3,,c,#N/A,#N/A,#N/A,4,5,3333,3,#N/A,0442,2.5,s,sing,q,dv,c,vig,0,2,1,4332,3,#N/A,#N/A,#N/A,#N/A,4,4,4,3,2,2,1,1,1,1,2.3,na
417,240620-083000,-12.5318,-69.0132,8,8,Secundario,Palmeras,Arboles,pair,0,cale,,,,,,,,,,na,u,5,,q,#N/A,#N/A,#N/A,na,na,na,#VALUE!,#N/A,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,#N/A,#N/A,#N/A,#N/A,na,na,na,na,na,na,na,na,na,na,0,na
418,240620-092831,-12.5312,-69.0133,11,11,Secundario,Lianas,arboles,pair,1,wipo,,,1,1,wipo,f,1,5,3,na,m,4,,q,7,4,9,3,7,3322,2.5,1,2033,2,q,gl,q,fz,c,gl,5:23,0,3,2033,2,6,11,14,19,3,3,2,1,2,1,2,3,3,3,2.3,na
419,240620-092831,-12.5312,-69.0133,11,11,Secundario,Lianas,arboles,pair,0,wipo,,,,,,,,,,na,f,5,,a,7,4,9,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,11,14,19,na,na,na,na,na,na,na,na,na,na,0,na
420,240620-092831,-12.5312,-69.0133,11,11,Secundario,Lianas,arboles,pair,0,myhy,,,,,,,,,,na,m,11,,c,7,4,9,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,11,14,19,na,na,na,na,na,na,na,na,na,na,0,na
421,240620-092831,-12.5312,-69.0133,11,11,Secundario,Lianas,arboles,pair,0,myhy,,,,,,,,,,na,f,10,,c,7,4,9,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,11,14,19,na,na,na,na,na,na,na,na,na,na,0,na
422,240620-092831,-12.5312,-69.0133,11,11,Secundario,Lianas,arboles,pair,0,gacy,,,,,,,,,,na,u,5,,q,7,4,9,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,6,11,14,19,na,na,na,na,na,na,na,na,na,na,0,na
423,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,1,raca,,,1,6,raco,m,1,22,12,na,m,3,,a,7,2,7,6,8,4432,3.25,2,3211,1.75,c,gl,a,dv,a,chaos,0,12,6,3210,1.5,5,10,15,20,4,4,2,2,2,2,2,3,3,3,2.7,na
424,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,raca,,,,,raco,,,,,na,f,1,,a,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
425,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,raca,,,,,raco,,,,,na,m,2,,a,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
426,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,raca,,,,,raco,,,,,na,m,2,,a,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
427,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,raca,,,,,raco,,,,,na,m,4,,a,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
428,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,raca,,,,,raco,,,,,na,m,4,,a,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
429,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,mygr,,,,,,,,,,na,u,10,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
430,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,mygr,,,,,,,,,,na,u,16,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
431,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,daca,,,,,,,,,,na,m,8,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
432,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,tame,,,,,,,,,,na,u,15,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
433,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,vich,,,,,,,,,,na,u,20,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
434,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,tach,,,,,,,,,,na,u,15,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
435,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,tasc,,,,,,,,,,na,u,11,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
436,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,tasc,,,,,,,,,,na,u,9,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
437,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,mecr,,,,,,,,,,na,u,15,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
438,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,xigu,,,,,,,,,,na,u,17,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
439,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,daca,,,,,,,,,,na,f,12,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
440,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,myma,,,,,,,,,,na,u,19,,q,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
441,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,tame,,,,,,,,,,na,u,15,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
442,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,mecr,,,,,,,,,,na,u,16,,c,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
443,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,lolu,,,,,,,,,,na,m,8,,u,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
444,240620-144654,-12.5271,-69.0155,8,8,Secundario,Platanal,heliconias,ssf,0,thep,,,,,,,,,,na,u,7,,u,7,2,7,na,na,na,#VALUE!,2,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,5,10,15,20,na,na,na,na,na,na,na,na,na,na,0,na
445,240620-153552,-12.5277,-69.0164,8,10,Agricultura,Platanal,heliconias,ssf,1,raca,,,0,0,none,n,0,4,1,na,f,3,,q,8,3,15,5,5,0000,0,1,0100,0.25,c,vig,q,dv,q,vig,0,9,3,3312,2.25,2,5,8,12,1,1,3,2,1,0,0,0,0,0,0.8,na
446,240620-153552,-12.5277,-69.0164,8,10,Agricultura,Platanal,heliconias,ssf,0,raca,,,,,,,,,,na,m,2,,q,8,3,15,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,5,8,12,na,na,na,na,na,na,na,na,na,na,0,na
447,240620-153552,-12.5277,-69.0164,8,10,Agricultura,Platanal,heliconias,ssf,0,raca,,,,,,,,,,na,m,6,,q,8,3,15,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,5,8,12,na,na,na,na,na,na,na,na,na,na,0,na
448,240620-153552,-12.5277,-69.0164,8,10,Agricultura,Platanal,heliconias,ssf,0,raca,,,,,,,,,,na,m,8,,q,8,3,15,na,na,na,#VALUE!,1,na,#VALUE!,na,na,na,na,na,na,na,na,na,na,#VALUE!,2,5,8,12,na,na,na,na,na,na,na,na,na,na,0,na
449,240620-160139,-12.5277,-69.0158,6,7,Agricultura,Platanal,heliconias,solo,1,myma,,,0,0,none,n,0,1,1,na,u,2,,q,9,4,12,4,7,0100,0.25,1,1110,0.75,c,sally,q,dv,q,fz,0:21,2,4,2011,1,3,4,7,10,1,1,2,2,2,3,3,0,0,0,1.4,na
