na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
143,230724-083037,na,na,na,na,na,na,na,na,0,1,tree,no,7,218,na,1,msf,1,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,13,19,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
144,230724-083037,na,na,na,na,na,na,na,na,0,1,tree,no,7,218,na,1,msf,1,haru,Habia rubica,Habia rubica,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,13,19,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
145,230724-083037,na,na,na,na,na,na,na,na,0,1,tree,no,7,218,na,1,msf,1,haru,Habia rubica,Habia rubica,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,13,19,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
146,230724-083037,na,na,na,na,na,na,na,na,0,1,tree,no,7,218,na,1,msf,1,tasc,Tangara schrankii,Tangara schrankii,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,13,19,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
147,230724-083037,na,na,na,na,na,na,na,na,0,1,tree,no,7,218,na,1,msf,1,tasc,Tangara schrankii,Tangara schrankii,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,13,19,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
148,230724-092728,-12.53753,-69.00421,na,4,na,na,na,na,1,1,tree,no,3,53,na,1,pair,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,0,m,1,q,17,3,1,2,2,1111,na,1112,quiet,glean,quiet,forage,quiet,gl,0,0,2,1112,8,12,17,26,na,2,3,2,2,1,1,2,3,1,1,"Male was silently foraging GL_DL and even when the control arrow passed right above and later made and awful KLONK on a tree 12m away, there was no change in behavior. Female was w/i 5m, and also had no reaction. ",na,na,na,na,na,na,na,na,na,na,na,0,na
149,230724-092728,na,na,na,na,na,na,na,na,1,1,tree,no,3,53,na,1,pair,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,na,5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,12,17,26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
150,230724-105944,-12.829,-69.00251,na,4,na,na,na,na,1,1,tree,gap,4,166,na,1,pair,1,sche,Sciaphylax hemimelaena,Myrmeciza hemimelaena,na,m,3,q,21,4,3,1,2,2332,na,3322,quiet,glean,quiet,fz,quiet,vs,270,0,1,3322,9,17,19,30,na,3,4,2,3,1,1,2,1,1,2,"male and female both foraging DL GL_PR in general area, usually from the base of palm petioles, where they come together like a funnel trapping falling leaves. Song and calls off and on before, male froze and VS upwards for 4:30sec before foraging again in same area and called in female again.",na,na,na,na,na,na,na,na,na,na,na,0,na
151,230724-105944,na,na,na,na,na,na,na,na,1,1,tree,gap,4,166,na,1,pair,1,sche,Sciaphylax hemimelaena,Myrmeciza hemimelaena,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,17,19,30,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
152,230724-125824,-12.538472,-68.997402,na,7,na,na,na,na,0,1,tree,palm,2,206,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,0,c,17,4,0,4,9,2111,na,0012,call,lek,call,"dv ,lek",c,lek,0,4,5,2241,8,13,22,35,na,1,2,1,2,1,1,3,3,2,2,"male was mostly alone from lek, next pifa >15m. Control almost hit it (whoops) and it flew about 4m into slightly denser veg that it had been using already. Then it started lek again in a few seconds. Didn't VS for arrow.",na,na,na,na,na,na,na,na,na,na,na,0,
153,230724-132158,-12.53839,-68.99743,na,10,na,na,na,na,1,1,tree,palm,4,206,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,1,q,22,4,1,5,7,2133,na,0121,call,ss_lek,quiet,dv,quiet,frz,590,3,4,1111,7,14,22,40,na,2,1,1,2,2,1,3,2,2,2,"same lek as previous, but given time to recoup. Isolated male again that was very active, calling and even seen fighting another male. It flew to the edge of the lek area. I launched the hwk w/ a very clear path and got w/i 1m. the bird froze for 9:50 and VS the air slowly with head only not moving body for duration.",na,na,na,na,na,na,na,na,na,na,na,0,na
154,230724-150118,-12.535216,-69.007789,na,12,na,na,na,na,1,2,palm,tree,2,46,na,1,ssf,1,squirrel monkey,#N/A,#N/A,na,u,2,c,22,5,2,6,9,3213,na,4323,call,move,call,sit,c,sit,0,0,6,4323,8,18,23,30,na,3,1,1,2,1,2,3,3,2,1,"a group of about 15 squirrel monkeys were passing low and some capuchins were in canopy at the same time. sounded like tamarins too. Got hwk off 2x at Sq Mon and each time got a call back, but nothing seeming like an alarm, just surprise.",na,na,na,na,na,na,na,na,na,na,na,0,na
155,230725-083057,-12.533716,-69.009033,na,8,na,na,na,na,1,2,tree,vine,6,72,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,2,q,17,3,2,3,6,1123,na,3211,call,ss_lek,quiet,dv,quiet,frz,540,2,3,1002,6,13,22,27,na,3,3,1,2,1,2,2,1,1,1,"a group of males lekking. I launched at 2 of them, and hwk was w/i 2m of both. Both dove out of danger away from hwk. Followed one of them and watched it sit very still for 9min slowly moving its head upward back and forth for the entire freeze time. It didn't move its body until around 510sec.",na,na,na,na,na,na,na,na,na,na,na,0,na
156,230725-083057,na,na,na,na,na,na,na,na,1,2,tree,vine,6,72,na,1,lek,1,pifa,Pipra fasciicauda,Pipra fasciicauda,na,m,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,13,22,27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
157,230725-114906,-12.53830,-69.00545,na,11,na,na,na,na,0,1_2,tree,no,5,98,na,1,msf,1,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,na,u,1,q,25,5,1,5,22,3321,na,2200,quiet,pr,quiet,pr,quiet,pr,0,0,5,2200,8,18,23,38,na,3,4,2,2,2,1,1,1,1,1,"the control arrow flew right past and the bird had no reaction, not even a flinch. It just kept probing at the bases of the epiphyte roots on the trunk of the live tree.",na,na,na,na,na,na,na,na,na,na,na,0,
158,230725-114906,na,na,na,na,na,na,na,na,0,1_2,tree,no,5,98,na,1,msf,1,phpy,Philydor pyrrhodes,Philydor pyrrhodes,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,18,23,38,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
159,230725-121531,-12.53831,-69.00548,na,12,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,2,q,23,5,2,4,18,1001,na,1020,song,vs_sit,quiet,"vs ,sit",quiet,vs_sit,0,0,4,1020,8,17,28,40,na,1,2,1,2,1,1,1,1,3,2,"pair was sitting together on a vine. Sang a duet for a brief time, then went quiet just before I shot the arrow. Neither flinched, even though they seemed to be VS for entire observation period",na,na,na,na,na,na,na,na,na,na,na,0,
160,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
161,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,rani,Ramphocelus nigrogularis,Ramphocelus nigrogularis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
162,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,rani,Ramphocelus nigrogularis,Ramphocelus nigrogularis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
163,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,rani,Ramphocelus nigrogularis,Ramphocelus nigrogularis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
164,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,rani,Ramphocelus nigrogularis,Ramphocelus nigrogularis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
165,230725-121531,na,na,na,na,na,na,na,na,0,1_2,tree,no,4,77,na,1,msf,1,rani,Ramphocelus nigrogularis,Ramphocelus nigrogularis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,17,28,40,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,
166,230727-065504,-12.527276,-69.016339,na,7,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,m,2,a,16,5,2,7,8,1010,na,2222,call,py,alarm,dv,c,vs_sit,0,11,4,2322,7,8,no,no,na,1,1,1,3,2,1,2,1,0,0,"Target male was in a group of other RACO and the had had the tar dive, but another RACO definitely made an alarm at the hawk. Then the entire group was worked up for about 1_2 min after and possibly with other spp too",na,na,na,na,na,na,na,na,na,na,20230727_065504_Ramphocelus_carbo_m_a.wav,1,na
167,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
168,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
169,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
170,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
171,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
172,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
173,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,vich,Vireo chivi,Vireo olivaceus,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
174,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,vich,Vireo chivi,Vireo olivaceus,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
175,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,tuoc,Tunchiornis ochraceiceps,Hylophilus ochraceiceps,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
176,230727-065504,na,na,na,na,na,na,na,na,1,banana,fern,mowed,0,no,na,1,msf,1,xeru,Xenops rutilans,Xenops rutilans,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7,8,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
177,230727-082936,-12.52710,-69.01636,na,11,na,na,na,na,1,banana_2,fern,tree,2,34,na,1,msf,1,gacy,Galbula cyanescens,Galbula cyanescens,na,u,3,q,17,9,3,11,14,1011,na,2101,call,ss,quiet,vs,quiet,vs,0,0,11,2101,9,14,14,19,na,1,1,2,3,3,2,2,3,3,3,"target was perched in open, alone. It sat still and VS after hwk. Looking in direction of hwk flight, but resumed foraging behavior a few seconds after.",na,na,na,na,na,na,na,na,na,na,na,0,na
178,230727-082936,na,na,na,na,na,na,na,na,1,banana_2,fern,tree,2,34,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,14,14,19,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
179,230727-085514,-12.526901,-69.016139,na,12,na,na,na,na,0,2,tree,no,2,36,na,1,solo,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,2,q,16,8,2,9,14,2312,na,1121,quiet,vs_eat,quiet,"vs ,eat",quiet,vs_eat,0,0,9,1121,7,13,13,16,na,4,4,3,3,3,2,1,2,2,2,"smashing a large caterpillar and eating while doing vs often, Smash bug on branch, vs, repeat. No reaction or even a glance in direction of control arrow even w/ crash noise. Dogs were already barking very loudly though.",na,na,na,na,na,na,na,na,na,na,na,0,
180,230727-104229,-12.52682,-69.01499,na,8,na,na,na,na,1,2,tree,heli,2,30,na,1,pair,1,toch,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,na,u,1,q,17,5,1,5,9,2222,na,1111,call,ss,quiet,dv,c,vs,0,1,6,2111,5,9,11,27,na,1,1,2,2,2,2,3,2,2,2,"pair of Todirostrum chrysocrotaphum at the nest. The target dove away about 1m, did a VS for brief time and then continued to forage.","Nest is a loose ball about 8cm in diamete hanging from a branch w/ the entrance at the bottom to sone side and with a sort of awning over it, presumably for rain. It was also right beside a large wasp nest w/i 10cm",na,na,na,na,na,na,na,na,na,na,0,na
181,230727-104229,na,na,na,na,na,na,na,na,1,2,tree,heli,2,30,na,1,pair,1,toch,Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,9,11,27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
182,230728-082620,-12.52743,-69.01612,na,9,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,euri,Eubucco richardsoni,Eubucco richardsoni,na,m,1,q,16,5,1,5,9,1000,na,2000,quiet,pe,quiet,dv,quiet,u,0,8,4,3433,6,10,no,no,na,1,1,2,3,2,2,2,2,1,1,"EURI male was pecking at large diameter branch 12cm in diameter and from the top, and was silent. hwk passed w/1 1m and it dove into dense banana. A RACA_U gave an alarm call, high and rapid from behind me and all the birds left the vicinity.",na,na,na,na,na,na,na,na,na,na,na,0,na
183,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
184,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
185,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
186,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
187,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
188,230728-082620,na,na,na,na,na,na,na,na,1,banana,mowed,no,1,53,na,1,msf,1,raca,Ramphocelus carbo,Ramphocelus carbo,na,u,9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,10,no,no,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
189,230728-090119,-12.52831,-69.01623,na,13,na,na,na,na,1,swamp,open,dead,3,34,na,1,solo,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,9,q,23,6,9,5,13,1202,na,2212,quiet,preen_sit,quiet,vs,quiet,sh,0,0,5,2212,5,12,22,30,na,1,2,2,2,2,1,1,1,3,2,"target MONI was w/ another MONI before flying solo to lower in swamp and then alone. Hwk was good fly, but it curved out of the way in the opposite direction, about 9m proximal. Target made a vs, but stayed in place until I retrieved the hwk. Then it SH on GL 2x before flying higher into mid_story",na,na,na,na,na,na,na,na,na,na,na,0,na
190,230728-110440,-12.52859,-69.01465,na,6,na,na,na,na,1,2,tree,no,6,48,na,1,solo,1,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,f,2,q,15,3,2,4,5,2211,na,2312,call,glean,quiet,forage,quiet,glean,0,0,4,2312,6,13,15,17,na,2,1,1,2,4,3,4,3,3,2,"followed solo female for several minutes before a good shot. She was calling off and on for that time. I shot the control and she kept foraging, but went quiet as she did before occasionally. Dense nattow trees made it tough to find a place to shoot.",na,na,na,na,na,na,na,na,na,na,na,0,na
191,230728-115051,-12.526997,-69.015859,na,3,na,na,na,na,1,2,bamboo,tree,2,50,na,1,solo,1,moni,Monasa nigrifrons,Monasa nigrifrons,na,u,1,q,15,2,1,2,5,2122,na,1022,quiet,vs,quiet,dv,c,vs,0,7,9,3311,7,11,8,16,na,3,2,4,3,2,2,4,2,2,2,"target was very close and flew from control which was also very close. then it went higher, made some quiet calls and another MONI responded quietly from high up, but that one also added a whistle.",na,na,na,na,na,na,na,na,na,na,na,0,na
192,230729-090321,-12.532263,-69.009572,na,5,na,na,na,na,1,2,tree,palm,3,210,na,1,solo,1,livo,Lipaugus vociferans,Lipaugus vociferans,na,u,2,q,14,3,2,4,6,2222,na,1223,song,sit,quiet,dv,s,s,0,12,6,2222,6,17,29,42,na,3,2,3,2,2,2,2,1,1,1,"singing often. hwk scared it away, but I think from crashing leaves more than anything, so I called it a failed flight. Tar immediately started singing again from a new perch.",na,na,na,na,na,na,na,na,na,na,na,0,na
193,230729-101604,-12.53196,-69.00874,na,11,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,thsy,Thamnomanes schistogynus,Thamnomanes schistogynus,na,f,2,a,21,3,2,3,6,3222,na,3212,quiet,vs,alarm,"fz ,vs",c,ss,10,4,3,3321,5,17,20,34,na,3,3,3,3,2,1,2,1,1,2,"followed MSF for 30min, they were calling quietly for the entie time, and it was high diversity of spp. THAR_F and THSY_F seemed to stay close together fro the most part. I flew the hwk past both F, but only the THSY made a call, shich was much louder and different from the others she was making before. The entire flock moved w/ the TAR and THSY when they flew away and both were calling often during that movement period. It was maybe 10 seconds after the hawk when they started to move away.",na,na,na,na,na,na,na,na,na,na,20230729_101604_Thamnomanes_schistogynus_f_a.wav,1,na
194,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
195,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
196,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
197,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,foan,Formicarius analis,Formicarius analis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
198,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,lele,Legatus leucophaius,Legatus leucophaius,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
199,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,na,scma,Schiffornis major,Schiffornis major,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,added from audio recording really clear and close,na,na,na,na,na,na,na,na,na,na,na,0,na
200,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,phpy,Philydor pyrrhodes,Philydor pyrrhodes,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
201,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,myga,Myiopagis gaimardii,Myiopagis gaimardii,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
202,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,cyli,Cymbilaimus lineatus,Cymbilaimus lineatus,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
203,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
204,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,pyst,Pygiptila stellaris,Pygiptila stellaris,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
205,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,thsc,Thamnophilus schistaceus,Thamnophilus schistaceus,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
206,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,haru,Habia rubica,Habia rubica,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
207,230729-101604,na,na,na,na,na,na,na,na,1,2,tree,no,3,107,na,1,msf,1,euch,Euphonia chlorotica,Euphonia chlorotica,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5,17,20,34,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
