na,Timestamp,lat,long,obs1,Obs1_bird_dist,shooter,Shoot_bird_dist,obs2,Obs2_bird_dist,hwk,Habitat_Primary,Habitat_Under_Dom1,Habitat_Under_Dom2,Basal Area 10m,Dbh_largest,AudioID,VisualID,SocialGroup,Target,Spp,Scientific,BirdTree,Angle,Sex,Proximity,Audio_React,Flight_dist,Flight_apex,Flight_proximity,Pre_Bird_Height,Forage_Tree_height,Veg_dense_under,Veg_under_height,Pre_Bird_Dense,Pre_Vocal,Pre_Behav,Mid_Vocal,"Mid ,Behav",Post_Vocal,Post_Behav,Freeze_Time_sec,Post_Dist (Dive_Dist),Post_Bird_Height,Post_Bird_Dense,Veg_mid_low,Veg_mid_high,Veg_can_low,Veg_can_high,5m_dense,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Notes,Behav_notes,Veg_dense_mid,Veg_under_low,Veg_notes,zoom_wav,voice_record_wav,Rec_reviewed,Recording_Notes,selection,call_type,AlarmExport,alarm,flock
13,230708-064826,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,myax,Myrmotherula axillaris,Myrmotherula axillaris,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
14,230708-064826,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,haru,Habia rubica,Habia rubica,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
15,230708-064826,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,xiel,Xiphorhynchus elegans,Xiphorhynchus elegans,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
16,230708-064826,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
17,230708-064826,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,m,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,5.9,7.8,21.2,31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
18,230708-094158,-12.538421,-69.000237,VLW,9.2,vlw,9.2,na,na,1,na,na,na,na,na,na,1,msf,0,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,m,na,c,22.5,5.2,1.5,3.5,na,2343,na,2221,call,glean,call,dv,call,sit,na,4,na,2221,10.6,12.6,15.7,24.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,ZOOM0134_Tr1.WAV,na,na,na,na,C1,na,0,na
19,230708-094158,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,na,f,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.6,12.6,15.7,24.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
20,230708-094158,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,tasc,Tangara schrankii,Tangara schrankii,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.6,12.6,15.7,24.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
21,230708-094158,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,1,msf,1,mylo,Myrmotherula longipennis,Myrmotherula longipennis,na,u,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10.6,12.6,15.7,24.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na
22,230709-061134,-12.52835,-69.0136,VLW,5.9,AL,10.4,na,na,1,na,na,na,na,na,na,1,msf,0,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,na,M,na,q,19.6,6,4,2,na,1111,na,2334,sing,forage,silent,fz,silent,freeze,na,0,na,2334,7.5,8.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"went totally quiet, but a MYAX flew in shortly after and started calling, maybe mobbing the hawk, and possibly signaled to a threat by the silence of the MYHY. Or it could have been attracted to the sound.",na,na,na,ZOOM0143_Tr1.WAV,na,na,na,na,na,na,0,na
